ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,IPA
39,38,ńarg t́eǯ́ist,ńarg	t́eǯ́-ist,cape.ACC/GEN.SG	edge-LOC.SG,on the edge of the cape,,,,zaikov_babinskij_1987[118],
40,38,oлmoлma pŭĭ͔ttiš mūri͔ čuhpmi͔st,oлm-oлma	pŭĭ͔tt-iš	mūr-i͔	čuhp-m-i͔st,man-man.NOM.PL	come-PST.3PL	wood-ACC/GEN.PL	cut-PTCP-LOC.SG,The men came back from fetching firewood,,,,zaikov_babinskij_1987[170],
41,38,sonn nu͔tt pūidi͔ mūri͔ kŭŏddi͔,sonn	nu͔tt	pūid-i͔	mūr-i͔	kŭŏdd-i͔,3SG.NOM	then	come-PST.3SG	wood-ACC/GEN.PL	bring-INF,Then he went to bring (some) firewood,,,,kert_obrazcy_1988[75],
42,38,maɳɳa ti̮t šoD sūn kohkka,maɳɳa	ti̮t	šoD	sūn	kohkk-a,then	PTCL	become.PRS.3SG	thread.NOM.SG	long-PRED.SG,Then the thread becomes long.,,,,kert_obrazcy_1988,
43,38,tūeŕki vot kūʰḱḱiś ṕēD rai̯ja,tūeŕki	vot	kūʰḱḱ-iś	ṕēD	rai̯ja,winter.boots.NOM	PTCL	long-PRED.PL	buttock.ACC/GEN.SG	to,Winter boots are long to the buttocks,,,,kert_obrazcy_1988[11],
44,38,nurmus < nurr,nur-mus	<	nurr,young-SUP	<	young,youngest < young,,,,zaikov_babinskij_1987[140],
45,38,suɛpmus < suɛṕṕeś,suɛp-mus	<	suɛṕṕ-eś,soft-SUP	<	soft-ATTR,softest < soft,,,,zaikov_babinskij_1987[140],
46,38,ńaлgsɛmus < ńaĺgiś,ńaлgs-ɛmus	<	ńaĺgiś,tasty-SUP	<	tasty,tastiest < tasty,,,,zaikov_babinskij_1987[140],
47,38,koum kuɛĺ,koum	kuɛĺ,three	fish.ACC/GEN.SG,three fishes,,,,zaikov_babinskij_1987[118],
48,38,kŭŏssɛ pŭĭ͔ttiš kuohtлoγ́γ́ oumži͔tti͔,kŭŏss-ɛ	pŭĭ͔tt-iš	kuoht-лoγ́γ́	oumž-i͔tti͔,guest-DAT.SG	come-PST.3PL	two-ten	man-PRT,Twenty people came to visit,,,,zaikov_babinskij_1987[119],
49,38,vi̮nsi͔st ĺai koлm oṷma,vi̮ns-i͔st	ĺai	koлm	oṷma,boat-LOC.SG	be.PRS.3SG	three	man.ACC/GEN.SG,There were three persons in the boat,,,,zaikov_babinskij_1987[129],
50,38,jarka puk porri̮š suoĺta,jarka	puk	porr-i̮š	suoĺ-ta,before	all	eat-PST.3PL	salt-ABE,Everything was eaten without salt before,,,,zaikov_babinskij_1987[124],
51,38,mij mɛ̄ni͔m ńark t́ahča,mij	mɛ̄n-i͔m	ńark	t́ahč-a,1PL.NOM	go-PST.1PL	cape.GEN.SG	edge-DAT.SG,We went to the edge of the cape.,,,,zaikov_babinskij_1987[120],
52,38,mij jīĺim mieci͔st,mij	jīĺ-im	miec-i͔st,1PL.NOM	live-PST.1PL	forest-LOC.SG,We lived in the forest,,,,zaikov_babinskij_1987[121],
53,38,sonn vi̮jdi͔ ōṷgas pi̮ɛrti͔st,sonn	vi̮jd-i͔	ōṷgas	pi̮ɛrt-i͔st,3SG.NOM	go.out-PST.3SG	outside	house-LOC.SG,He went outside from the house.,,,,zaikov_babinskij_1987[122],
54,38,korhkɛn˙ лŭŏš̄t vŭăj̄va,korhk-ɛn˙	лŭŏš̄t	vŭăj̄v-a,club-COM.SG	hit.PRS.3SG	head-DAT.SG,(S)he hits with a club to the head,,,,zaikov_babinskij_1987[124],
55,38,a ti̮t kiemnin˙ vā͕ʒi͔ māst,a	ti̮t	kiemn-in˙	vā͕ʒ-i͔	māst,and	that.NOM.SG	pot-COM.SG	return-PST.3SG	home,And he came home with a pot,,,,zaikov_babinskij_1987[123],
56,38,a maɳɳa mū pii̭jiš čor̄vin˙,a	maɳɳa	mū	pii̭j-iš	čor̄v-in˙,and	then	1SG.ACC/GEN	make-PST.3PL	horn-ESS,And then they made me chairman,,,,zaikov_babinskij_1987[122],
57,38,sonn māst pui͔di͔ saл̄ti͔n˙,sonn	māst	pui͔d-i͔	saл̄t-i͔n˙,3SG.NOM	home	come-PST.3SG	soldier-ESS,He came home as a soldier,,,,zaikov_babinskij_1987[122],
58,38,mū jen˙n˙ ta͕ĺak ĺī,mū	jen˙n˙	ta͕ĺak	ĺī,1SG.GEN	mother-NOM.SG	over.there	be.PRS.3SG,My mother is over there,,,,zaikov_babinskij_1987[183],
59,38,mi̮n muśt˙pĭĕnni͔ nubb kiddi͔st ōxk,mi̮n	muśt˙	pĭĕnni͔	nubb	kidd-i͔st	ōxk,what	1SG.LOC	dog.NOM.SG	other	camp-LOC.SG	bark.PRS.3SG,Why is my dog barking at another camp?,,,,kert_obrazcy_1988[75],
60,38,ḿī šī̮nDi͔ pɛ̄rtī͔st,ḿī	šī̮nD-i͔	pɛ̄rt-ī͔st,what.NOM.SG	happen-PST.3SG	house-LOC.SG,What happened in the hut?,,,,kert_obrazcy_1988[31],
61,38,t́i pui͔di,t́i	pui͔d-i,who.NOM.SG	come-PST.3SG,Who came?,,,,kert_obrazcy_1988[31],
62,38,jeńśeś,jeń-ś-eś,mother-DAT.SG-POSS.3,to his\their mother,,,,zaikov_babinskij_1987[136-137],
63,38,jeńńińɛś,jeńń-iń-ɛś,mother-COM.SG-POSS.3,with his\their mother,,,,zaikov_babinskij_1987[136-137],
64,38,jeńńiśguim,jeńń-iś-guim,mother-PL.POSS.3-COM.PL,with their mothers,,,,zaikov_babinskij_1987[136-137],
65,38,jeńńīśta,jeńń-īś-ta,mother-PL.POSS.3-ABE,without their mothers,,,,zaikov_babinskij_1987[136-137],
66,38,čieh́ć,,,father's brother,,,,,
67,38,jańń,,,mother's brother,,,,zaikov_babinskij_1987[175],
68,38,jev́v́eś :jēv́eś,jev́v́eś	:jēv́eś,food.for.the.road.NOM	:food.for.the.road.ACC/GEN,food for the road :(to take) food for the road,,,,zaikov_babinskij_1987[67],jevʲvʲesʲ :jeːvʲesʲ
69,38,pi̮ssi͔m :pī̮si͔m,pi̮ssi͔m	:pī̮si͔m,washtub.NOM.SG	:washtub.NOM.PL,a washtub :washtubs,,,,zaikov_babinskij_1987[67],pɨssım :pɨːsım
70,38,ṕess :ṕēss,ṕess	:ṕēss,gun.NOM.SG	:gun.NOM.PL,a gun :guns,,,,zaikov_babinskij_1987[33],pʲesːs :pʲeːss
71,38,vuss :vūss,vuss	:vūss,leather.bag.NOM.SG	:leather.bag.NOM.PL,a leather bag :leather bags,,,,zaikov_babinskij_1987[33],vusːs :vuːss
72,38,tahkdi͔m :tahkdī͔m,tahkdi͔m	:tahkdī͔m,knock.PST.1SG	:knock.PST.1PL,I knocked :we knocked,,,,zaikov_babinskij_1987[37],tahdım :tahdıːm
73,38,kirkni͔m :kirknī͔m,kirkni͔m	:kirknī͔m,be.on.time.PST.1SG	:be.on.time.PST.1PL,I was on time :we were on time,,,,zaikov_babinskij_1987[37],kirknım :kirknıːm
74,38,toĺkjim :toĺkjīm,toĺkjim	:toĺkjīm,knead.PST.1SG	:knead.PST.1PL,I kneaded :we kneaded,,,,zaikov_babinskij_1987[37],tolʲkjim :tolʲkjiːm
75,38,ṕess :ṕēss :rɛ̄ś,ṕess	:ṕēss	:rɛ̄ś,gun.NOM.SG	:gun.NOM.PL	:stick.NOM.PL,a gun :guns :sticks,,,,zaikov_babinskij_1987[33],pʲesːs :pʲeːss :rɛːsʲ
76,38,vuss :vūss :kuɛś,vuss	:vūss	:kuɛś,leather.bag.NOM.SG	:leather.bag.NOM.PL	:guest.NOM.PL,a leather bag :leather bags :guests,,,,"zaikov_babinskij_1987[33, 52]",vusːs :vuːss :kuɛsʲ
77,38,nĭĕлл,nĭĕлл,swallow.PRS.3SG,(s)he swallows,,,,zaikov_babinskij_1987[90],nieɫɫ
78,38,ṕĕăл̄t,ṕĕăл̄t,field.NOM.SG,a field,,,,zaikov_babinskij_1987[90],pʲeaɫːt
79,38,nāb˙ta,nāb˙ta,cup.ABE.SG,without a cup,,,,zaikov_babinskij_1987[77],ˈnaːbʲta
80,38,šop̄šɛp˙,šop̄šɛp˙,love.PRS.1PL,we love,,,,zaikov_babinskij_1987[77],ˈʃopːʃepʲ
81,38,vi̮ɛnas,vi̮ɛnas,boat.NOM.SG,a boat,,,,zaikov_babinskij_1987[38],vɨɛnas
82,38,pohci͔vi̮i͔m,pohci͔vi̮i͔m,reindeer.COM.PL,(ride) on reindeer,,,,zaikov_babinskij_1987[41],pohcıvɨjm
83,38,kuaram,kuaram,sew.PRS.1SG,I am sewing,,,,zaikov_babinskij_1987[108],kuaram
84,38,vŭădd,vŭădd,sleep.PRS.3SG,(S)he is sleeping,,,,zaikov_babinskij_1987[98],vuadd
85,38,ŕĕăh́ḱ,ŕĕăh́ḱ,sin.NOM.SG,a sin,,,,zaikov_babinskij_1987[42],reahʲːkʲ
86,38,åńń,åńń,now,now,,,,zaikov_babinskij_1987[73],ɒɲɲ
87,38,jåd˙d˙a͕t˙,jåd˙d˙a͕t˙,go.PRS.3PL,they go,,,,zaikov_babinskij_1987[184],jɒdʲdʲætʲ
88,38,pa͕j :vɛj,pa͕j	:vɛj,all	:cut.IMP.SG,all :cut!,,,,zaikov_babinskij_1987[32],pæːj :vɛːj
89,38,prāzńek,prāzńek,holiday.NOM.SG,a holiday,,,,zaikov_babinskij_1987[74],praːzɲek
90,38,stokan,stokan,glass.NOM.SG,a glass,,,,zaikov_babinskij_1987[74],stokan
91,38,sirtsstɛ,sirtsstɛ,move.PUNCT.INF,to move,,,,zaikov_babinskij_1987[89],sirtsstɛ
92,38,måinsti͔,måinsti͔,tell.PUNCT.INF,to tell,,,,zaikov_babinskij_1987[89],mɒjnstı
93,38,pi̮r̄t,pi̮r̄t,house.NOM.SG,a house,,,,zaikov_babinskij_1987[75],pɨrːt
94,38,ki̮n̄c,ki̮n̄c,fingernail.NOM.SG,a fingernail,,,,zaikov_babinskij_1987[75],kɨnːʦ
95,38,ki̮лmsap,ki̮лmsap,cold.CMPR,colder,,,,zaikov_babinskij_1987[86],kɨɫmsap
96,38,лumpлi͔,лumpлi͔,puddle.ACC/GEN.PL,(I see) puddles,,,,zaikov_babinskij_1987[86],ɫumpɫı
97,38,pua͕d˙,pua͕d˙,come.IMP.SG,come!,,,,zaikov_babinskij_1987[47],puadʲ
98,38,mɛn˙n˙,mɛn˙n˙,egg.NOM.SG,an egg,,,,zaikov_babinskij_1987[56],mɛnʲnʲ
99,38,vieśviś,vieśviś,wasp.NOM.SG,a wasp,,,,zaikov_babinskij_1987[52],viesʲvisʲ
100,38,ḿej̄n,ḿej̄n,caviar.NOM.SG,caviar,,,,zaikov_babinskij_1987[55],mʲejːn
101,38,лamb́eś,лamb́eś,sheep.NOM.SG,a sheep,,,,zaikov_babinskij_1987[55],ɫamʲbʲesʲ
102,38,tĭĕɳ̄́ḱ,tĭĕɳ̄́ḱ,money.NOM,money,,,,zaikov_babinskij_1987[48],tieŋʲːkʲ
103,38,t́azzam,t́azzam,pull.PRS.1SG,I am pulling,,,,zaikov_babinskij_1987[47],cazzam
104,38,t́eŕmiś,t́eŕmiś,thunder.NOM.SG,thunder,,,,zaikov_babinskij_1987[47],cerʲmisʲ
105,38,mańń,mańń,daughter-in-law.NOM.SG,a daughter-in-law,,,,zaikov_babinskij_1987[56],maɲɲ
106,38,ńŏăzziś,ńŏăzziś,slow,slow,,,,zaikov_babinskij_1987[56],ɲoazzisʲ
107,38,maɳɳa,maɳɳa,after,after,,,,zaikov_babinskij_1987[56],maŋŋa
108,38,jiɳɳ,jiɳɳ,ice.NOM.SG,ice,,,,zaikov_babinskij_1987[56],jiŋŋ
109,38,vacc,vacc,mitten.NOM.PL,mittens,,,,zaikov_babinskij_1987[48],vaʦʦ
110,38,č́ŭăn˙n˙,č́ŭăn˙n˙,goose.NOM.SG,a goose,,,,zaikov_babinskij_1987[49],ʨuanʲnʲ
111,38,peč́ḱeŕ,peč́ḱeŕ,bitter,biyyer,,,,zaikov_babinskij_1987[49],peʨkʲerʲ
112,38,kŭɛ̆śś :kŭɛ̆š́š́,kŭɛ̆śś	:kŭɛ̆š́š́,guest.NOM.SG	:skin.NOM.SG,a guest :a skin,,,,"zaikov_babinskij_1987[52, 67]",kuɛsʲːsʲ :kuɛʃʲːʲʃ
113,38,rūšas,rūšas,Russian,Russian,,,,zaikov_babinskij_1987[52],ruːʃas
114,38,kībi͔st,kībi͔st,soot.LOC.SG,in soot,,,,zaikov_babinskij_1987[47],kiːbıst
115,38,ɛ̄dam,ɛ̄dam,appear.PRS.1SG,I appear,,,,zaikov_babinskij_1987[47],ɛːdam
116,38,guɛika,guɛika,for,for,,,,zaikov_babinskij_1987[48],guɛjka
117,38,kiht,kiht,hand.NOM.SG,a hand,,,,zaikov_babinskij_1987[53],kiht
118,38,vahc,vahc,mittens.NOM.SG,a mitten,,,,zaikov_babinskij_1987[53],vahʦ
119,38,ši̮γ,ši̮γ,good,good,,,,zaikov_babinskij_1987[48],ʃɨɣ
120,38,pōγam,pōγam,drill.PRS.1SG,I am drilling,,,,zaikov_babinskij_1987[48],poːɣam
121,38,xozzin,xozzin,host.NOM.SG,a host,,,,zaikov_babinskij_1987[53],xozzin
122,38,maxt,maxt,how,how,,,,zaikov_babinskij_1987[53],maxt
123,38,ńūu̯č,ńūu̯č,swan.NOM.PL,swans,,,,zaikov_babinskij_1987[52],ɲuːwʨ
124,38,āu̯t˙a͕t˙,āu̯t˙a͕t˙,skin.a.carcass.PRS.3PL,they are skinning a reindeer carcass,,,,zaikov_babinskij_1987[52],aːwtʲætʲ
125,38,faidi,faidi,Fadei.NOM.SG,Fadei (male name),,,,zaikov_babinskij_1987[51],fajdi
126,38,morf,morf,Marfa.NOM.SG,Marfa (female name),,,,zaikov_babinskij_1987[51],morf
127,38,ak̄š :āu̯ši,ak̄š	:āu̯ši,axe.NOM.SG	:axe.ACC/GEN.SG,an axe :(take) an axe,,,,zaikov_babinskij_1987[71],akːʃ :aːwʃi
128,38,mŭŏht :muodi͔,mŭŏht	:muodi͔,face.NOM.SG	:face.GEN.PL,a face :faces',,,,zaikov_babinskij_1987[71],muoht :muodı
129,38,murr :mūri͔st,murr	:mūri͔st,tree.NOM.SG	:tree.LOC.SG,a tree :on a tree,,,,zaikov_babinskij_1987[67],murr :murıst
130,7,sures lidnas,sure-s	lidna-s,big-INE	town-INE,in a big town,,,,,
131,7,levedad tedme,leveda-d	te-dme,wide-PRT	road-PROL,along the wide road,,,,,
132,7,Mina lugin kirjan,Mina	lug-i-n	kirja-n,I	read-PST-1SG	book-GEN,I read a book,,,,,
133,7,Mina lugen kirjad,Mina	luge-n	kirja-d,I	read-1SG	book-PRT,I am reading a book,,,,,
134,7,To minei avadim!,To	minei	avadim!,bring.IMP.2SG	1SG.ALL	key.NOM,Bring me the key!,,,,,
135,7,Ala to necida avadind!,Ala	to	neci-da	avadin-d!,NEG.IMP.2SG	bring.IMP	this-PRT	key-PRT,Don't bring this key,,,,,
136,7,Leib on stolal,Leib	on	stola-l,bread.NOM	be.3SG	table-ADE,The bread is on the table,,,,,
137,7,Stolal om leibad,Stola-l	om	leiba-d,table-ADE	be.3SG	bread-PRT,There is (some) bread on the table,,,,,
138,7,Ižand rikoi kanan i toi kodihe,Ižand	riko-i	kana-n	i	to-i	kodi-he,master	kill-PST.3SG	chicken-GEN	and	bring-PST.3SG	home-ILL,The master killed the chicken and brought (it) home,,,,,
139,7,Ajelimoi kodihe,Aje-l-i-moi	kodi-he,drive-FRQ-PST-1PL	home-ILL,We were driving home,,,,,
140,7,"Olen tehmas radoid, keradamas babukoid","ole-n	teh-mas	rado-i-d,	kerada-ma-s	babuko-i-d",be-1SG	do-INF2.INE	work-PL-PRT	pick-INF2-INE	berry-PL-PRT,"I am working, picking berries",,,,,
141,7,Mina söškan i góškan,Mina	sö-ška-n	i	gó-ška-n,1SG	eat-INCH-1SG	and	drink-INCH-1SG,I'll start to eat and drink,,,,,
142,7,Hän om jo lähtmas,Hän	om	jo	läht-ma-s,3SG	be.3SG	already	leave-INF2-INE,S/he is about to leave,,,,,
143,7,"olin sönu, konz sina tulid","ol-i-n	sö-nu,	konz	sina	tul-i-d",be-PST-1SG	eat-ACT.PST.PTCP	when	2SG	come-PST-2SG,I had eaten when you came,,,,,
144,7,söižin,sö-iži-n,eat-COND-1SG,I would eat,,,,,
145,7,"Ku mina olnuižin kodiš süu aigou, ka mina sanunuižin sinei","Ku	mina	ol-nu-iži-n	kodi-š	süu	aigou,	ka	mina	sanu-nu-iži-n	sinei","if	1SG	be-ACT.PST.PTCP-COND-1SG	home-INE	that	time,	then	1SG	tell-ACT.PST.PTCP-COND-1SG	2SG.ALL","If I would have been at home, I would have told you",,,,,
146,7,saneleb ka sanugaha,sanele-b	ka	sanu-ga-ha,tell-3SG	then	tell-JUSS-3SG,[If] s/he tells then let him/her tell,,,,,
147,7,pezen : pezemoi,peze-n	:	peze-moi,wash-1SG	:	wash-REFL.1SG,I wash : I was myself,,,,,
148,7,hö tehtas,hö	teh-tas,3PL	make-PRS.PASS,they make,,,,,
149,7,"hijamot tehtas paidha, ombeldas","hijamo-t	teh-tas	paid-ha,	ombel-das",sleeve-PL	make-PRS.PASS	shirt-ILL	sew-PRS.PASS,Sleeves are made and sewn onto the shirt,,,,grunthal_vepsan_2015[258],
150,7,oludespai humalzud,olude-spai	humalzu-d,beer-ELA	get_drunk-2SG,one gets drunk from beer,,,,grunthal_vepsan_2015[125],
151,7,Mina lähten mecha paimendamha,Mina	lähte-n	mec-ha	paimenda-mha,1SG	go-1SG	forest-ILL	herd-INF2,I'm going to forest to herd,,,,,
152,7,vihmub,vihmu-b,rain-3SG,It is raining,,,,,
